Item,QNT,Price,Link,details
Switches,162,13.39/45  * 4 = 53.56EUR = 62.48USD, https://a.aliexpress.com/_EJTCEpM,AKKO  v3 pro cream blue
Keycaps,2 Sets,16.99EUR * 2 = 33.98EUR = 39.64USD, https://a.aliexpress.com/_Eyr32DU,cuul mc keycaps
Diodes,160,1.39*2 + Duties = 5.78, https://a.aliexpress.com/_EGyImLY,
Rotary Encoder,2,6.49+ Duties 3Eur = 9.49 Eur,https://a.aliexpress.com/_EjwhFqK,
Orpheus Pico,2,3.05 *2 + Duties = 9.10, https://a.aliexpress.com/_ExrMmQe,in reality its a knockoff pi pico
PCB,,37.39,,
Cable,,6.49+ duties =9.49,https://a.aliexpress.com/_EwkdJdC,
MX Stab,,6.19+ Duties =9.19, https://a.aliexpress.com/_EHf4OAA,
,,welps that got out of hand,,
,,Total 167.98 EUR = 196.01,,
